2017-09-06T19:14:18.765Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2740,{"ONSince":"1504706176","OnFor":"19081","TodayONTime":"20188","TodayConsumed":"75419854"}
2017-09-06T19:14:19.900Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504724194","OnFor":"103","TodayONTime":"1560","TodayConsumed":"17938052"}
2017-09-06T19:15:54.914Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504655232","OnFor":"14","TodayONTime":"0","TodayConsumed":"0"}
2017-09-06T19:15:54.924Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,8,4040,{"ONSince":"1504725259","OnFor":"33","TodayONTime":"3590","TodayConsumed":"18634440"}
2017-09-06T19:15:55.374Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2730,{"ONSince":"1504706176","OnFor":"19179","TodayONTime":"20286","TodayConsumed":"75425314"}
2017-09-06T19:15:56.094Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504724194","OnFor":"103","TodayONTime":"1560","TodayConsumed":"17938052"}
2017-09-06T19:15:56.397Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504655232","OnFor":"14","TodayONTime":"0","TodayConsumed":"0"}
2017-09-06T19:15:56.455Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,8,4040,{"ONSince":"1504725259","OnFor":"33","TodayONTime":"3590","TodayConsumed":"18638455"}
2017-09-06T19:15:56.987Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2725,{"ONSince":"1504706176","OnFor":"19180","TodayONTime":"20287","TodayConsumed":"75425314"}
2017-09-06T19:15:58.516Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504724194","OnFor":"103","TodayONTime":"1560","TodayConsumed":"17938052"}
2017-09-06T19:15:58.897Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504655232","OnFor":"14","TodayONTime":"0","TodayConsumed":"0"}
2017-09-06T19:15:58.928Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,8,4035,{"ONSince":"1504725259","OnFor":"33","TodayONTime":"3590","TodayConsumed":"18638455"}
2017-09-06T19:15:59.452Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2705,{"ONSince":"1504706176","OnFor":"19183","TodayONTime":"20290","TodayConsumed":"75425314"}
2017-09-06T19:16:00.064Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504724194","OnFor":"103","TodayONTime":"1560","TodayConsumed":"17938052"}
2017-09-06T19:16:00.479Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504655232","OnFor":"14","TodayONTime":"0","TodayConsumed":"0"}
